   0.10000E+02 -0.42128E+01
   0.10080E+02 -0.39729E+01
   0.10160E+02 -0.37331E+01
   0.10240E+02 -0.34932E+01
   0.10320E+02 -0.32534E+01
   0.10400E+02 -0.30136E+01
   0.10480E+02 -0.27739E+01
   0.10560E+02 -0.25342E+01
   0.10640E+02 -0.22946E+01
   0.10720E+02 -0.20550E+01
   0.10800E+02 -0.18156E+01
   0.10880E+02 -0.15763E+01
   0.10960E+02 -0.13371E+01
   0.11040E+02 -0.10980E+01
   0.11120E+02 -0.85920E+00
   0.11200E+02 -0.62060E+00
   0.11280E+02 -0.38228E+00
   0.11360E+02 -0.14431E+00
   0.11440E+02  0.93254E-01
   0.11520E+02  0.33031E+00
   0.11600E+02  0.56677E+00
   0.11680E+02  0.80250E+00
   0.11760E+02  0.10373E+01
   0.11840E+02  0.12711E+01
   0.11920E+02  0.15036E+01
   0.12000E+02  0.17345E+01
   0.12080E+02  0.19635E+01
   0.12160E+02  0.21902E+01
   0.12240E+02  0.24140E+01
   0.12320E+02  0.26342E+01
   0.12400E+02  0.28502E+01
   0.12480E+02  0.30608E+01
   0.12560E+02  0.32648E+01
   0.12640E+02  0.34604E+01
   0.12720E+02  0.36457E+01
   0.12800E+02  0.38180E+01
   0.12880E+02  0.39738E+01
   0.12960E+02  0.41087E+01
   0.13040E+02  0.42172E+01
   0.13120E+02  0.42923E+01
   0.13200E+02  0.43254E+01
   0.13280E+02  0.43059E+01
   0.13360E+02  0.42213E+01
   0.13440E+02  0.40570E+01
   0.13520E+02  0.37958E+01
   0.13600E+02  0.34173E+01
   0.13680E+02  0.28978E+01
   0.13760E+02  0.22084E+01
   0.13840E+02  0.13149E+01
   0.13920E+02  0.17595E+00
   0.14000E+02 -0.12581E+01
   0.14080E+02 -0.30469E+01
   0.14160E+02 -0.52623E+01
   0.14240E+02 -0.79905E+01
   0.14320E+02 -0.11335E+02
   0.14400E+02 -0.15421E+02
   0.14480E+02 -0.20398E+02
   0.14560E+02 -0.26447E+02
