100.  -39.5274
100.8  -39.0475
101.6  -38.5673
102.4  -38.0876
103.2  -37.6078
104.  -37.1281
104.8  -36.6483
105.6  -36.1686
106.4  -35.68905
107.2  -35.20951
108.  -34.73008
108.8  -34.25083
109.6  -33.77166
110.4  -33.29258
111.2  -32.81385
112.  -32.33531
112.8  -31.85708
113.6  -31.37911
114.4  -30.90165
115.2  -30.42479
116.  -29.94843
116.8  -29.4729
117.6  -28.9983
118.4  -28.5247
119.2  -28.0525
120.  -27.582
120.8  -27.1134
121.6  -26.6472
122.4  -26.184
123.2  -25.7245
124.  -25.2694
124.8  -24.8199
125.6  -24.3772
126.4  -23.9431
127.2  -23.5197
128.  -23.1096
128.8  -22.7165
129.6  -22.3448
130.4  -22.0002
131.2  -21.6899
132.  -21.4224
132.8  -21.2088
133.6  -21.0617
134.4  -20.9961
135.2  -21.0295
136.  -21.1827
136.8  -21.4802
137.6  -21.9515
138.4  -22.6317
139.2  -23.56335
140.  -24.7976
140.8  -26.3958
141.6  -28.4324
142.4  -30.9965
143.2  -34.1956
144.  -38.1598
144.8  -43.0449
145.6  -49.0397
