# Observed Passband Measurement Uncertainty
  4.76E+12  3.05E-13   9.04E-14  
   4.20E+12  1.86E-13   1.35E-14  
 3.00E+12  1.28E-13   6.21E-15  
  3.00E+12  1.32E-13   6.78E-15  
  3.00E+12  1.20E-13   1.80E-14  
 3.00E+12  1.25E-13   1.00E-14  
  2.52E+12  1.25E-13   8.82E-15  
  2.46E+12  9.35E-14   1.72E-14  
 2.07E+12  3.93E-14   1.03E-14  
 1.90E+12  4.37E-14   3.80E-14  
  1.86E+12  7.68E-14   6.51E-15  
  1.62E+12  5.02E-14   4.21E-15  
  1.47E+12  3.32E-14   5.59E-15  
 2.40E+10  1.13E-18  0.0  
  2.40E+10  6.96E-18  0.0  
  2.40E+10  1.61E-17  0.0  
  1.99E+10  2.59E-17   1.19E-18  
  1.70E+10  9.52E-19  0.0  
 1.70E+10  5.24E-18  0.0  
 1.70E+10  1.55E-17  0.0  
  8.40E+09  1.68E-17  0.0  
  8.00E+09  1.84E-17   9.60E-19  
  5.01E+09  2.66E-17   2.66E-18  
   5.00E+09  2.27E-17   1.15E-18  
  5.00E+09  2.10E-17  0.0  
   4.85E+09  2.37E-17   1.26E-18  
   4.85E+09  2.54E-17   1.36E-18  
  2.70E+09  2.16E-17  0.0  
  1.41E+09  2.96E-17  0.0  
  1.41E+09  2.96E-17  0.0  
  8.43E+08  1.72E-17   5.17E-19  
  8.43E+08  1.91E-17   1.71E-18  
   8.43E+08  1.66E-17   5.00E-19  
  4.08E+08  2.53E-17  0.0  
